Артикул	Наименование товара	Описание товара	Цена	Фото	Категория товара	Действующая скидка
А112Т4	Ботинки	Женские Ботинки демисезонные kari	4990	1.jpg	Женская обувь	3
F635R4	Ботинки	Ботинки Marco Tozzi женские демисезонные, размер 39, цвет бежевый	3244	2.jpg	Женская обувь	2
H782T5	Туфли	Туфли kari мужские классика MYZ21AW-450A, размер 43, цвет: черный	4499	3.jpg	Мужская обувь	4
G783F5	Ботинки	Мужские ботинки Рос-Обувь кожаные с натуральным мехом	5900	4.jpg	Мужская обувь	2
J384T6	Ботинки	B3430/14 Полуботинки мужские Rieker	3800	5.jpg	Мужская обувь	2
D572U8	Кроссовки	129615-4 Кроссовки мужские	4100	6.jpg	Мужская обувь	3
F572H7	Туфли	Туфли Marco Tozzi женские летние, размер 39, цвет черный	2700	7.jpg	Женская обувь	2
D329H3	Полуботинки	Полуботинки Alessio Nesca женские 3-30797-47, размер 37, цвет: бордовый	1890	8.jpg	Женская обувь	4
B320R5	Туфли	Туфли Rieker женские демисезонные, размер 41, цвет коричневый	4300	9.jpg	Женская обувь	2
G432E4	Туфли	Туфли kari женские TR-YR-413017, размер 37, цвет: черный	2800	10.jpg	Женская обувь	3
S213E3	Полуботинки	407700/01-01 Полуботинки мужские CROSBY	2156		Мужская обувь	3
E482R4	Полуботинки	Полуботинки kari женские MYZ20S-149, размер 41, цвет: черный	1800		Женская обувь	2
S634B5	Кеды	Кеды Caprice мужские демисезонные, размер 42, цвет черный	5500		Мужская обувь	3
K345R4	Полуботинки	407700/01-02 Полуботинки мужские CROSBY	2100		Мужская обувь	2
O754F4	Туфли	Туфли женские демисезонные Rieker артикул 55073-68/37	5400		Женская обувь	4
G531F4	Ботинки	Ботинки женские зимние ROMER арт. 893167-01 Черный	6600		Женская обувь	12
J542F5	Тапочки	Тапочки мужские Арт.70701-55-67син р.41	500		Мужская обувь	13
B431R5	Ботинки	Мужские кожаные ботинки/мужские ботинки	2700		Мужская обувь	2
P764G4	Туфли	Туфли женские, ARGO, размер 38	6800		Женская обувь	15
C436G5	Ботинки	Ботинки женские, ARGO, размер 40	10200		Женская обувь	15
F427R5	Ботинки	Ботинки на молнии с декоративной пряжкой FRAU	11800		Женская обувь	15
N457T5	Полуботинки	Полуботинки Ботинки черные зимние, мех	4600		Женская обувь	3
D364R4	Туфли	Туфли Luiza Belly женские Kate-lazo черные из натуральной замши	12400		Женская обувь	16
S326R5	Тапочки	"Мужские кожаные тапочки ""Профиль С.Дали"" "	9900		Мужская обувь	17
L754R4	Полуботинки	Полуботинки kari женские WB2020SS-26, размер 38, цвет: черный	1700		Женская обувь	2
M542T5	Кроссовки	Кроссовки мужские TOFA	2800		Мужская обувь	18
D268G5	Туфли	Туфли Rieker женские демисезонные, размер 36, цвет коричневый	4399		Женская обувь	3
T324F5	Сапоги	Сапоги замша Цвет: синий	4699		Женская обувь	2
K358H6	Тапочки	Тапочки мужские син р.41	599		Мужская обувь	20
H535R5	Ботинки	Женские Ботинки демисезонные	2300		Женская обувь	2
